symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2023-12-06 00:00:00+00:00,192.32,194.76,192.11,194.45,40895115,191.8139311,194.2475105,191.6044836,193.9383262,40895115,0,1
AAPL,2023-12-07 00:00:00+00:00,194.27,195,193.59,193.63,47477655,193.7587998,194.4868789,193.0805892,193.1204839,47477655,0,1
AAPL,2023-12-08 00:00:00+00:00,195.71,195.99,193.67,194.2,53406358,195.1950106,195.4742739,193.1603787,193.688984,53406358,0,1
AAPL,2023-12-11 00:00:00+00:00,193.18,193.49,191.42,193.11,60943699,192.6716681,192.9808523,190.9162993,192.6018523,60943699,0,1
AAPL,2023-12-12 00:00:00+00:00,194.71,194.72,191.721,193.08,52696900,194.197642,194.2076157,191.2165073,192.5719312,52696900,0,1
AAPL,2023-12-13 00:00:00+00:00,197.96,198,194.85,195.09,70404183,197.43909,197.4789848,194.3372736,194.5766421,70404183,0,1
AAPL,2023-12-14 00:00:00+00:00,198.11,199.62,196.16,198.02,66831572,197.5886953,199.0947219,195.6438265,197.4989321,66831572,0,1
AAPL,2023-12-15 00:00:00+00:00,197.57,198.3999,197,197.53,128538401,197.0501163,197.8778325,196.4816161,197.0102215,128538401,0,1
AAPL,2023-12-18 00:00:00+00:00,195.89,196.63,194.39,196.09,55751861,195.374537,196.1125898,193.8784841,195.5740107,55751861,0,1
AAPL,2023-12-19 00:00:00+00:00,196.94,196.95,195.89,196.16,40233138,196.421774,196.4317477,195.374537,195.6438265,40233138,0,1
AAPL,2023-12-20 00:00:00+00:00,194.83,197.68,194.83,196.9,52242815,194.3173263,197.1598268,194.3173263,196.3818793,52242815,0,1
AAPL,2023-12-21 00:00:00+00:00,194.68,197.08,193.5,196.1,46482549,194.167721,196.5614056,192.990826,195.5839844,46482549,0,1
AAPL,2023-12-22 00:00:00+00:00,193.6,195.41,192.97,195.18,37149570,193.0905629,194.8958001,192.4622206,194.6664053,37149570,0,1
AAPL,2023-12-26 00:00:00+00:00,193.05,193.89,192.83,193.61,28919310,192.5420101,193.3797998,192.322589,193.1005366,28919310,0,1
AAPL,2023-12-27 00:00:00+00:00,193.15,193.5,191.09,192.49,47899806,192.641747,192.990826,190.5871677,191.9834837,47899806,0,1
AAPL,2023-12-28 00:00:00+00:00,193.58,194.66,193.17,194.14,34049898,193.0706155,194.1477736,192.6616944,193.6291419,34049898,0,1
AAPL,2023-12-29 00:00:00+00:00,192.53,194.4,191.725,193.9,42672148,192.0233785,193.8884578,191.2204967,193.3897735,42672148,0,1
AAPL,2024-01-02 00:00:00+00:00,185.64,188.44,183.885,187.15,82488674,185.1515087,187.9441408,183.4011268,186.6575353,82488674,0,1
AAPL,2024-01-03 00:00:00+00:00,184.25,185.88,183.43,184.22,58414460,183.7651664,185.3908772,182.9473241,183.7352453,58414460,0,1
AAPL,2024-01-04 00:00:00+00:00,181.91,183.0872,180.88,182.15,71983570,181.4313238,182.6054262,180.4040342,181.6706923,71983570,0,1
AAPL,2024-01-05 00:00:00+00:00,181.18,182.76,180.17,181.99,62196924,180.7032447,182.2790871,179.6959024,181.5111133,62196924,0,1
AAPL,2024-01-08 00:00:00+00:00,185.56,185.6,181.5,182.085,59144470,185.0717192,185.111614,181.0224027,181.6058633,59144470,0,1
AAPL,2024-01-09 00:00:00+00:00,185.14,185.15,182.73,183.92,42841809,184.6528244,184.6627981,182.2491661,183.4360347,42841809,0,1
AAPL,2024-01-10 00:00:00+00:00,186.19,186.4,183.92,184.35,46792908,185.7000615,185.9095089,183.4360347,183.8649032,46792908,0,1
AAPL,2024-01-11 00:00:00+00:00,185.59,187.05,183.62,186.54,49128408,185.1016403,186.5577985,183.1368241,186.0491405,49128408,0,1
